	ABSTRACT OF THE METEOROLOGICAL JOURNAL KEPT																						
	"ON BOARD HIS MAJESTY'S SHIP, HECLA, FROM"																						
	JUNE 1824 TO SEPTEMBER 1825																						
																	TEMP IN SHADE 			SEA WATER			
YEAR	MONTH	DAY 	LAT (N)	LONG (W)	BAROMETER												REGISTERED EVERY 2 HOURS			AT SURFACE			
			1200	1200	300	400	500	900	1000	1100	1500	1600	1700	2100	2200	2300	MAX	MIN	MEAN	MAX	MIN	MEAN	
1825	4	18			30.197	30.198	30.195	30.198	30.199	30.194	30.190	30.180	30.187	30.155	30.143	30.140	9.0	-14.5	-2.7				
1825	4	19			30.130	30.141	30.131	30.088	30.074	30.063	30.040	30.028	30.025	30.009	29.999	29.982	4.0	-12.0	-1.7				
1825	4	20			29.986	29.991	29.984	30.002	30.003	30.014	30.041	30.058	30.060	30.115	30.112	30.117	13.0	-1.5	6.7				
1825	4	21			30.165	30.187	30.183	30.234	30.228	30.256	30.294	30.296	30.308	30.356	30.346	30.347	20.0	3.0	10.9				
1825	4	22			30.362	30.368	30.376	30.348	30.353	30.375	30.371	30.366	30.361	30.316	30.304	30.286	20.0	-2.0	8.1				
1825	4	23			30.218	30.209	30.190	30.075	30.040	30.004	29.972	29.964	29.958	29.943	29.913	29.907	11.0	2.0	6.9				
1825	4	24			29.885	29.887	29.882	29.879	29.867	29.876	29.876	29.873	29.881	29.886	29.879	29.887	7.0	1.5	3.2				
1825	4	25			29.896	29.896	29.900	29.910	29.914	29.921	29.937	29.934	29.939	29.951	29.945	29.950	14.0	1.5	6.9				
1825	4	26			29.958	29.968	29.976	29.995	29.994	29.998	30.030	30.035	30.041	30.069	30.065	30.079	9.0	-6.0	2.2				
1825	4	27			30.097	30.110	30.112	30.122	30.117	30.115	30.125	30.120	30.117	30.111	30.105	30.102	12.0	-9.0	3.5				
1825	4	28			30.102	30.101	30.090	30.077	30.076	30.077	30.079	30.066	30.067	30.062	30.053	30.054	11.0	-6.0	3.7				
1825	4	29			30.027	30.026	30.008	29.980	29.974	29.971	29.963	29.963	29.971	29.994	30.008	30.006	14.0	-9.0	1.0				
1825	4	30			30.028	30.035	30.050	30.100	30.097	30.096	30.161	30.156	30.174	30.179	30.178	30.187	7.0	-2.5	2.2				
	MEAN				30.064	30.070	30.067	30.065	30.059	30.061	30.070	30.068	30.071	30.074	30.067	30.065	20.0	-37.0	-6.5				
					30.064	30.070	30.067	30.065	30.060	30.061	30.070	30.068	30.071	30.074	30.067	30.065	2.548	-15.500	-6.495				
1825	5	1	PORT	BOWEN	30.207			30.220			30.205			30.145			11.0	-5.0	5.1				
1825	5	2			30.064			29.992			29.982			29.900			11.0	2.5	5.9				
1825	5	3			29.798			29.716			29.649			29.744			8.0	3.0	5.6				
1825	5	4			29.870			30.085			30.333			30.515			15.0	-3.0	4.8				
1825	5	5			30.624			30.675			30.683			30.653			11.0	-7.5	3.5				
1825	5	6			30.620			30.539			30.469			30.402			26.0	1.5	13.4				
1825	5	7			30.351			30.319			30.282			30.227			25.0	6.0	16.0				
1825	5	8			30.168			30.107			30.089			30.062			28.0	11.0	19.3				
1825	5	9			30.042			29.973			29.908			29.856			30.0	13.5	22.3				
1825	5	10			29.837			29.855			29.878			29.825			24.0	3.0	11.0				
1825	5	11			29.962			29.998			30.030			30.039			9.5	4.0	6.3				
1825	5	12			30.056			30.072			30.055			30.039			17.0	4.0	8.2				
1825	5	13			30.041			30.083			30.058			30.093			17.0	6.0	11.6				
1825	5	14			30.126			30.142			30.122			30.059			28.5	1.5	17.8				
1825	5	15			30.015			29.988			29.980			29.970			33.0	15.0	23.3				
1825	5	16			29.972			29.968			29.922			29.865			23.5	14.5	18.5				
1825	5	17			29.746			29.724			29.700			29.697			26.0	17.0	22.0				
1825	5	18			29.635			29.593			29.547			29.536			25.0	17.0	21.2				
