,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
20/05/1947,18:00,1983_011_0003_0050,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,75.5,79.5,S.E.,3,,,,,,,,,,
21/05/1947,06:00,1983_011_0003_0052,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,72.5,79.2,E.S.E. ,3,,,,,,,,,,
21/05/1947,Noon,1983_011_0003_0052,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.44S,92.49W,,,,,,270,46,40,E.,6,,,,,
21/05/1947,19:00,1983_011_0003_0052,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,75.5,79.2,E.S.E. ,3,,,,,,,,,,
22/05/1947,06:00,1983_011_0003_0054,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,77.5,79.2,S.S.E.,1,,,,,,,,,,
22/05/1947,Noon,1983_011_0003_0054,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.34S,93.27W,,,,,,270,38,30,E.,8,,,,,
22/05/1947,18:00,1983_011_0003_0054,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.5,79.6,S.S.E.,3,,,,,,,,,,
23/05/1947,06:00,1983_011_0003_0056,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.5,79.3,S.S.E.,3,,,,,,,,,,
23/05/1947,Noon,1983_011_0003_0056,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.36S,93.52W,,,,,,270,25.1,25.1,,,,,,,
23/05/1947,18:00,1983_011_0003_0056,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.5,79.8,S.S.E.,3,,,,,,,,,,
24/05/1947,06:00,1983_011_0003_0058,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76,79.6,E.S.E. ,2,,,,,,,,,,
24/05/1947,Noon,1983_011_0003_0058,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.35S,94.16W,,,,,,270,27.1,16,E.,8,,,,,
24/05/1947,18:00,1983_011_0003_0058,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76,79.5,E.S.E. ,2,,,,,,,,,,
25/05/1947,06:00,1983_011_0003_0060,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76.5,79.1,S.S.E.,2,,,,,,,,,,
25/05/1947,Noon,1983_011_0003_0060,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.28S,94.51W,,,,,,270,35.7,27,S.E.,8.7,,,,,
25/05/1947,18:00,1983_011_0003_0060,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,76.5,79.6,S.S.E.,3,,,,,,,,,,
26/05/1947,06:00,1983_011_0003_0062,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,76.5,79,S.E.,3,,,,,,,,,,
26/05/1947,Noon,1983_011_0003_0062,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.28S,98.27W,,,,,,270,36,36,,,,,,,
26/05/1947,18:00,1983_011_0003_0062,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.5,79.4,S.E.,3,,,,,,,,,,
27/05/1947,06:00,1983_011_0003_0064,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,76.5,79.4,S.E.,3,,,,,,,,,,
27/05/1947,Noon,1983_011_0003_0064,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.27S,96.03W,,,,,,270,36,36,,,,,,,
27/05/1947,18:00,1983_011_0003_0064,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.5,78.9,S.E.,3,,,,,,,,,,
28/05/1947,06:00,1983_011_0003_0066,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,75.8,78.4,S.E.,3,,,,,,,,,,
28/05/1947,Noon,1983_011_0003_0066,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.27S,96.39W,,,,,,270,36,36,,,,,,,
28/05/1947,18:00,1983_011_0003_0066,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,76,78.6,S.E.,3,,,,,,,,,,
29/05/1947,06:00,1983_011_0003_0068,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76.2,78.6,S.E.,3,,,,,,,,,,
29/05/1947,Noon,1983_011_0003_0068,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.40S,97.44W,,,,,,270,66.3,32,S.E.,34.3,,,,,
29/05/1947,18:00,1983_011_0003_0068,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021,77.3,79,E.S.E. ,2,,,,,,,,,,
30/05/1947,06:00,1983_011_0003_0070,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,76.5,78.5,S.E.,3,,,,,,,,,,
30/05/1947,Noon,1983_011_0003_0070,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.44S,98.29W,,,,,,272,45.1,37,S.E.,81,,,,,
30/05/1947,18:00,1983_011_0003_0070,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,76,78,E. ,4,,,,,,,,,,
31/05/1947,06:00,1983_011_0003_0072,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76.5,78,S.E.,3,,,,,,,,,,
31/05/1947,Noon,1983_011_0003_0072,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.37S,99.27W,,,,,,272,58.7,48,E.S.E. ,10.7,,,,,
31/05/1947,18:00,1983_011_0003_0072,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,77,78,E. ,3,,,,,,,,,,
