ALBERT 1 1898 CRUISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PARIS,PARIS,,,,,,,Greenwich,,,,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,Latitude °,Latitude ',Longitude °,Longitude ',PRESSURE mm,"PRESSURE """,PRESSURE hPa,add SG,REMARKS,Latitude,Longitude,,Sond T°C 100m,Sond T°C 210m,Sond T°C 300m,Sond T°C 410m,,,,,,,,,
1898,8,7,1530,76,56,11,20.25,,,,,,76.9333333333333,11.3375,,,,,,,,,,,,,",",
1898,8,7,1550,,,,,,,,,Sonde 250m=3; 500m=1.9; 750m=8.8,,,,,,,,,,,,,,,",",
1898,8,7,1600,,,,,757.1,,1009.38,,,,,,,,,,,,,,,,76.9333333333333,",",11.3375
1898,8,7,2000,,,,,758,,1010.58,,,,,,,,,,,,,,,,76.9333333333333,",",11.5969213
1898,8,7,2100,,,,,758.2,,1010.85,,,,,,,,,,,,,,,,76.9333333333333,",",11.3375
1898,8,7,2152,76,56,9,9,,,,,"Temperature -1.2, surface=7",76.9333333333333,11.7469213,,,,,,,,,,,,,",",
1898,8,7,2400,,,,,,,,,"Temp 1000m=-0.7; 1200m=9.5?, 1400=-1.2",,,,,,,,,,,,,,,",",
1898,8,8,400,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,8,8,800,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,8,8,1200,,,,,758.5,,1011.25,,Dans Advent Baie/In Advent Bay,,,,,,,,,,,,,,76.9333333333333,",",11.7469213
1898,8,8,1600,,,,,758.6,,1011.38,,,,,,,,,,,,,,,,,",",
1898,8,8,2000,,,,,758.8,,1011.65,,,,,,,,,,,,,,,,,",",
1898,8,9,545,,,,,760,,1013.25,,,,,,,,,,,,,,,,,",",
1898,8,10,545,,,,,764,,1018.58,,,,,,,,,,,,,,,,,",",
1898,8,11,1200,,,,,,,,,Anchorage in Sasson Bay,,,,,,,,,,,,,,,",",
1898,8,11,1350,78,22,17,10.25,,,,,Temp=0.9,78.3666666666667,17.1708333333333,,,,,,,,,,,,,",",
1898,8,11,1600,,,,,757.7,,1010.18,,,,,,,,,,,,,,,,,",",
1898,8,11,1730,78,22,13,48,,,,,Temp=0,78.3666666666667,16.3969213,,,,,,,,,,,,,",",
1898,8,11,1748,78,22.5,16,8.25,,,,,,78.375,16.1375,,,,,,,,,,,,,",",
1898,8,12,530,,,,,764,,1018.58,,,,,,,,,,,,,,,,78.3666666666667,",",17.4302546333333
1898,8,13,545,,,,,767.2,,1022.85,,,,,,,,,,,,,,,,,",",
1898,8,13,1200,,,,,,,,,Dans Advent Baie/In Advent Bay,,,,,,,,,,,,,,78.3666666666667,",",16.3969213
1898,8,13,2000,,,,,765,,1019.92,,,,,,,,,,,,,,,,78.375,",",16.1375
1898,8,13,2400,,,,,762,,1015.92,,,,,,,,,,,,,,,,,",",
1898,8,14,400,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,8,14,800,,,,,754.2,,1005.52,,,,,,,,,,,,,,,,,",",
1898,8,14,900,,,,,752.5,,1003.25,,,,,,,,,,,,,,,,,",",
1898,8,14,1200,79,9,7,15,751.5,29.66,1001.92,1004.33,,79.15,9.8469213,,,,,,,,,,,,,",",
1898,8,14,1600,,,,,750.5,,1000.58,,,,,,,,,,,,,,,,,",",
1898,8,14,1900,,,,,749,,998.58,,,,,,,,,,,,,,,,,",",
1898,8,15,100,,,,,749.5,,999.25,,,,,,,,,,,,,,,,,",",
1898,8,15,800,,,,,754,,1005.25,,,,,,,,,,,,,,,,79.15,",",9.8469213
1898,8,16,400,,,,,756,,1007.92,,,,,,,,,,,,,,,,,",",
1898,8,16,900,,,,,754,,1005.25,,,,,,,,,,,,,,,,,",",
1898,8,16,1600,,,,,752.5,,1003.25,,,,,,,,,,,,,,,,,",",
1898,8,16,2000,,,,,752.5,,1003.25,,,,,,,,,,,,,,,,,",",
1898,8,16,2400,,,,,752.8,,1003.65,,,,,,,,,,,,,,,,,",",
1898,8,17,400,,,,,752.5,,1003.25,,,,,,,,,,,,,,,,,",",
1898,8,17,800,,,,,753.9,,1005.12,,,,,,,,,,,,,,,,,",",
1898,8,17,1200,,,,,753.8,,1004.98,,Anchored near Hollandar Head/Amsterdam Island,,,,,,,,,,,,,,,",",
1898,8,17,1400,,,,,753.4,,1004.45,,,,,,,,,,,,,,,,,",",
1898,8,17,1900,,,,,752,,1002.58,,,,,,,,,,,,,,,,,",",
1898,8,17,2245,80,27,11,5,,,,,Temp surface=5.3,80.45,13.6802546333333,,,,,,,,,,,,,",",
1898,8,17,2310,,,,,,,,,Temp 138m=4.3,,,,,,,,,,,,,,,",",
1898,8,17,2400,,,,,751.6,,1002.05,,,,,,,,,,,,,,,,,",",
1898,8,18,400,,,,,753,,1003.92,,,,,,,,,,,,,,,,,",",
1898,8,18,800,,,,,754,,1005.25,,,,,,,,,,,,,,,,80.45,",",13.6802546333333
