	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
			2000			765.1	23.0	23.1
			2400			764.9	22.7	
		18	400			764.6	23.0	23.1
			800			764.6	24.5	25.0
			1200	17 59	63 53	764.6	25.0	24.8
			1600			764.2	23.0	24.5
			2000			763.7	22.6	24.6
			2400			763.3	24.2	24.7
		19	400			763.2	24.1	24.5
			800			763.0	24.6	25.2
			1200	16 16	64 18	762.3	23.0	25.7
			1600			761.2	25.0	26.3
			2000			761.8	24.1	26.3
			2400			761.3	24.0	26.0
		20	400			760.2	22.3	25.8
			800			761.7	25.1	26.8
			1200	14 1	65 35	760.9	26.3	
			1600			759.3	26.3	26.2
			2000			760.7	25.7	
			2400			760.5	25.4	
		21	400			758.5	25.1	26.1
			800			759.6	26.8	26.4
			1200	11 21	66 32	759.4	26.3	26.8
			1600			758.5	26.4	26.9
			2000			758.3	26.2	26.6
			2400			758.9	26.1	26.4
		22	400			758.3	26.1	26.3
			800			758.9	30.5	27.2
			1200	8 47	66 9	759.6	28.7	27.6
			1600			758.2	30.2	27.3
			2000			759.3	26.7	27.1
			2400			760.2	26.1	26.9
		23	400			758.9	26.2	26.4
			800			761.6	26.5	27.0
			1200	8 42	64 55	759.9	26.3	27.1
			1600			759.2	26.0	27.4
			2000			761.2	23.9	27.3
			2400			761.7	26.3	27.1
		24	400			760.0	26.7	26.8
			800			760.9	27.2	26.8
			1200	7 10	65 42	761.4	27.4	27.6
			1600			759.7	27.8	28.1
			2000			761.7	26.5	28.0
			2400			761.7	26.5	27.8
		25	400			759.3	26.3	27.8
			800			760.1	26.8	27.8
			1200	4 46	67 16	759.7	28.0	28.0
			1600			758.7	28.0	28.5
			2000			759.4	27.8	28.2
			2400			759.3	27.7	28.0
		26	400			758.4	27.7	28.0
			800			759.4	24.7	27.8
			1200	3 7	68 11	759.3	25.8	27.9
			1600					28.2
			2000					28.4
			2400					28.1
		27	400			758.4	27.2	28.0
			800			759.8	27.8	28.4
			1200	2 19	69 8	759.6	28.8	29.3
			1600			759.3	28.5	29.9
			2000			761.2	28.2	30.1
		28	2400			760.8	27.8	29.8
			400			759.4	27.3	29.4
			800			761.3	26.6	29.0
			1200	0 43	71 20	761.2	27.4	28.8
