HMS EREBUS - VOYAGE TO SOUTHERN AND ANTARCTIC REGIONS								

YEAR	MONTH	DAY	LAT	LONG	MEAN TEMP	MEAN SST	MEAN 	
					F	F	BAROMETER	(corrected)
		16	65  48  	157  36   	32.30	28.50	29.505
		17	65  53  	157  59   	30.50	28.30	29.334
		18	66  11  	158  20   	31.30	28.10	29.040
		19	66  18  	158  38   	33.30	28.40	29.088
		20	66  36  	159  39   	32.40	28.00	28.597
		21	66  49  	157  19   	30.20	28.00	28.941
		22	66  39  	156  62   	27.70	27.80	29.208
		23	66  37  	156  41   	28.20	27.90	29.465
		24	66  43  	157  12   	31.10	27.90	29.476
		25	66  51  	157  13   	33.00	28.00	29.444
		26	67  13  	156  51   	32.20	28.10	29.101
		27	67  28  	156  28   	31.00	28.00	28.888
		28	67  39  	155  59   	31.80	28.50	28.821
		29	67  31  	156  02   	28.40	28.00	28.754
		30	67  21  	156  17   	30.50	28.10	28.786
		31	67  21  	157  51   	31.70	28.10	29.044
		Mean			30.46	28.30	29.196
					30.46	28.27	29.197
							
1842	2	1	67  08  	158  12   	29.60	28.00	29.303
		2	67  57  	160  3   	28.90	28.30	29.115
		3	68  23  	159  52   	28.10	28.00	29.129
		4	68  50  	160  20   	30.50	28.50	29.417
		5	68  59  	163  53   	30.00	28.30	29.324
		6	69  51  	167  39   	30.00	28.20	28.667
		7	70  18  	169  49   	27.40	28.20	28.654
		8	70  19  	174  00   	26.70	28.10	28.843
		9	70  39  	174  31   	27.90	28.40	28.806
		10	70  3  	176  23   	28.40	29.80	29.156
		11	70  06  	178  18   	30.50	30.60	28.807
		12	71  02  	179  13   	29.40	29.90	28.960
		13	72  27  	178  40   	29.30	30.40	28.801
		14	73  23  	177  56   	27.90	31.00	28.627
		15	74  26  	182  00   	25.10	30.20	28.891
		16	75  06  	187  04   	25.10	30.20	29.088
		17	75  53  	184  52   	27.70	30.30	28.930
		18	76  52  	178  00   	25.10	29.00	28.975
		19	76  14  	173  48   	21.90	28.80	28.646
		20	76  14  	167  25   	18.50	28.40	28.354
		21	75  53  	165  08   	20.90	28.50	28.566
		22	76  42  	165  50   	26.00	28.80	28.991
		23	77  49  	162  35   	25.00	28.50	29.088
		24	76  51  	161  30   	25.00	28.40	28.677
		25	74  50  	166  15   	28.10	28.80	28.432
		26	72  46  	170  01   	24.90	28.50	28.544
		27	72  1  	172  25   	23.80	28.50	28.520
		28	70  54  	175  36   	24.90	28.30	28.510
		Mean			26.68	28.96	28.851
					26.66	28.96	28.851
							
1842	3	1	69  52  	180  06   	26.10	29.00	28.640
		2	68  04  	176  23   	29.00	31.00	28.659
		3	67  28  	174  27   	32.30	32.50	28.642
		4	67  30  	171  47   	31.50	31.70	28.345
		5	67  08  	171  38   	31.10	32.20	28.407
		6	65  06  	167  39   	32.10	32.90	28.468
		7	63  30  	165  38   	30.50	33.60	28.651
		8	62  16  	163  50   	32.00	34.50	28.712
		9	60  57  	160  49   	33.00	35.90	28.927
		10	60  19  	156  07   	32.50	35.50	29.219
		11	60  15  	151  32   	35.70	34.80	28.970
		12	60  12  	147  25   	35.90	34.90	29.279
		13	60  00  	143  48   	36.40	35.10	29.330
		14	59  23  	141  27   	36.80	35.80	29.335
		15	58  50  	137  26   	37.80	37.20	29.820
		16	59  01  	132  28   	37.80	37.60	29.848
		17	59  39  	127  12   	37.00	36.60	29.591
		18	60  21  	122  50   	38.10	38.20	29.476
		19	60  02  	118  55   	36.60	38.60	28.995
		20	59  21  	114  57   	36.80	39.30	28.882
		21	59  09  	111  08   	37.00	40.40	29.028
		22	58  28  	108  00   	34.80	40.40	29.239
		23	58  36  	104  48   	32.20	40.40	29.026
		24	58  51  	101  26   	36.20	41.20	29.130
		25	58  56  	96  08   	39.00	41.30	28.928
		26	59  02  	91  30   	38.10	41.80	28.684
		27	59  02  	87  21   	36.90	41.70	28.600
		28	58  55  	83  28   	36.60	41.90	28.773
		29	58  22  	79  50   	37.80	42.20	29.037
		30	58  28  	77  28   	41.90	42.80	28.868
		31	58  34  	74  20   	40.20	42.60	28.443
		Mean			35.19	37.22	28.966
					35.15	37.03	28.966
							
							
1842	4	1	57  20  	70  22	39.60	43.30	28.655
		2	57  25  	67  36   	41.20	44.30	28.692
		3	56  41  	65  00   	39.60	43.70	28.727
		4	54 47  	61  51   	39.60	45.20	29.050
		5	52  36  	56  42   	42.90	47.10	29.610
		6	Off Cape	Pembroke	45.60	49.10	29.302
		7	Port Louis	Berkeley 	44.70	48.60	28.878
		8		Sound	41.80	48.10	29.208
		9			47.40	48.30	29.263
		10			42.60	47.30	29.312
		11			42.00	46.60	29.718
		12			45.70	47.60	29.376
		13			43.60	46.70	29.868
		14			45.40	47.20	29.989
		15			47.20	47.80	29.881
		16			46.10	47.50	29.639
		17			43.20	46.30	30.071
		18			43.50	46.80	29.880
		19			46.80	47.50	29.704
		20			45.80	47.20	29.709
		21			48.00	47.50	29.534
		22			47.00	46.90	29.420
		23			44.60	47.30	29.655
		24			45.50	47.00	29.573
		25			41.10	46.40	29.580
		26			42.40	46.30	29.440
		27			42.20	46.10	29.278
		28			37.80	45.00	29.121
		29			43.30	45.50	29.213
		30			39.10	43.80	29.492
		Mean			43.52	46.60	29.428
					43.51	46.60	29.428
							
1842	5	1			44.90	44.80	29.457
		2			46.30	45.80	29.202
		3			50.20	45.20	29.418
		4			44.20	45.40	29.310
		5			41.50	44.50	29.497
		6			44.10	45.20	29.315
