	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			1700			77.0	78.0								
			1800			76.0	76.0						Cum.st.		
			1900			75.0	76.0								
			2000			75.0	76.0								
			2100			76.0	76.0		30.200	79° 74°		4		c.	
			2200			76.0	77.0								
			2300			75.0	77.0								
			2400			76.0	78.0								
			Mean.			75.87	76.24	72.7	30.187						
						75.88	76.88	72.67	30.188						
		8	100			76.0	77.0				Sd.	4	Cumuli.	c. u. l.	
			200			74.0	77.0							c.u.	Course east by south
			300			73.0	77.0	70.0	30.100	80°70°		6		c.q.r.l.	
			400			73.0	76.0								
			500			74.0	76.0					4		c. q.	
			600			73.0	75.0							c. q.	
			700			76.0	75.0								
			800			76.0	76.0								
			900			76.0	76.0	74.0	30.200	78° 68°		3			
			1000			76.0	76.0						Cirri.	b. c.	
			1100			78.0	76.0				Sd. & Wd.				
			1200	37  17	 34  09	78.0	76.0								
			1300			80.0	76.0								
			1400			79.0	76.0								Current half knot per
			1500			78.0	76.0	78.0	30.200	78° 71°					"hour, setting S.W."
			1600			78.0	76.0								
			1700			77.0	76.0							b.	
			1800			76.0	76.0								A strong ripple to the SW
			1900			75.0	76.0				Wd.				
			2000			76.0	75.0								
			2100			76.0	76.0		30.290	80°72°				b. w.	
			2200			74.0	76.0								
			2300			76.0	76.0								
			2400			76.0	76.0								
			Mean.			76.00	76.00	74.0	30.197						
						76.00	76.00	74.00	30.198						
		9	100			75.0	75.0				Wd.	3	Cum. St.	c.	
			200			75.0	75.0								Course east by south.
			300			75.0	75.0	69.0	30.250	77° 70°					
			400			74.0	74.0								
			500			74.0	74.0								
			600			74.0	74.0								
			700			74.0	74.0				S. W.				
			800			75.0	74.0								
			900			75.0	75.0	74.0	30.300	78° 70°				b.	
			1000			77.0	75.0				Sd.				
			1100			77.0	76.0								
			1200	37  18	32  03	78.0	76.0								
			1300			78.0	77.0								
			1400			78.0	77.0				S by E				
			1500			77.0	76.0	78.0	30.300	80° 70°					
			1600			77.0	76.0								
			1700			75.0	75.0								
			1800			74.0	74.0								
			1900			74.0	74.0								
			2000			74.0	74.0								
			2100			73.0	74.0		30.380	77° 68°					
			2200			73.0	73.0							.	
			2300			73.0	73.0								
			2400			74.0	74.0								
			Mean.			75.12	74.75	72.75	30.307						
						75.13	74.75	73.67	30.308						
		10	100			73.0	74.0				S. by E.	5		b.	Course east by south.
			200			73.0	74.0								
			300			73.0	74.0	72.0	30.350	76° 65°					
			400			73.0	73.0								
			500			73.0	73.0								
			600	.		73.0	73.0								
			700			74.0	73.0								
			800			74.0	74.0					4			
			900			75.0	74.0	73.0	30.400	75° 65°					
			1000			78.0	74.0								
			1100			78.0	76.0								
			1200	37 43	28 29										
			1300			79.0	75.0								Island of Pico in sight
			1400			79.0	75.0								bearing N. 1/2 E.
			1500			78.0	75.0	81.0	30.400	78° 68°			Cirri.	b. c.	
			1600			75.0	75.0						Cir. stra.		
			1700			75.0	74.0								
			1800			74.0	73.5					4			
			1900			73.5	73.0								
			2000			74.0	74.0								
			2100			72.0	73.0	70.0	30.410	80° 68°				c.	
			2200			72.0	73.0				Sd.				
			2300			72.0	73.0				S. by W.				
			2400												
			Mean.			74.54	73.90	74.00	30.390						
						74.57	73.89	74.00	30.390						
		11	100			72.0	73.0				S by W.	4	Cirri.	c.	Steering to southward
			200			73.0	74.0								and eastward
			300			73.0	74.0	70.0	30.350	75° 65°					
			400			73.0	74.0								Island of St. Michael
			500			73.0	74.0								"in sight, bearing E."
			600			73.0	74.0					5			S. E. Passed along
			700			73.0	74.0								the north side of St.
			800			73.5	73.5								Michael's Island.
			900			74.0	75.0		30.400	78° 64°		7			
