	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
			2400			764.3		11.5	11.0
		29	400			763.8		11.2	10.9
			800	40 21	56 03	767.0		15.2	11.5
			1200			766.8		16.6	12.3
			1600			765.8		19.9	12.9
			2000	40 23	56 01	767.8		14.6	13.2
			2400			766.7		13.6	14.0
		30	400			765.8		14.7	14.8
			800	41 36	58 45	765.8		13.2	8.9
			1200			764.4		13.2	9.8
			1600			763.4		11.4	8.9
			2000	41 36	58 45	761.3		10.8	8.5
			2400			761.8		9.0	8.9
	12	1	400			760.0		10.0	8.0
			800	42 52	61 11	759.0		11.4	8.0
			1200			757.1		14.1	8.0
			1600			756.0		14.0	8.7
			2000	42 53	60 49	756.9		12.2	8.0
			2400			757.1		11.0	8.8
		2	400			755.9		11.0	8.7
			800	44 28	62 37	756.8		11.4	8.8
			1200			757.0		13.8	9.2
			1600			757.0		14.5	9.7
			2000	44 28	62 25	756.0		12.1	10.0
			2400			755.8		11.4	10.0
		3	400			754.8		11.1	9.4
			800	44 05	62 22	754.0		10.5	9.0
			1200			753.1		13.4	9.2
			1600			751.0		12.9	10.3
			2000	44 04	62 26	751.0		12.0	10.0
			2400			753.5		12.1	11.0
		4	400			746.1		11.9	11.0
			800	45 23	63 10	748.8		11.7	11.6
			1200			748.8		13.1	11.5
			1600			746.8		13.3	12.0
			2000	45 23	63 28	747.6		12.3	11.0
			2400			746.8		11.3	10.8
		5	400			745.0		11.3	10.3
			800	46 45	63 56	741.7		12.0	10.5
			1200			741.1		12.3	10.7
			1600						
			2000	46 41	63 59				
			2400						
		6	400			735.1		10.0	9.8
			800	47 54	64 36	737.5		10.4	9.6
			1200			743.0		10.3	9.6
			1600			747.2		10.0	9.3
			2000	47 50	64 36	749.9		10.6	9.5
			2400			753.2		9.7	9.6
		7	400			754.2		10.0	9.3
			800	47 50	64 42	755.4		10.6	9.3
			1200			757.3		11.2	9.2
			1600			758.1		10.7	9.1
			2000	47 16	64 49	757.1		9.4	8.9
			2400			758.1		8.5	8.5
		8	400			758.2		8.7	8.8
			800	48 32	64 08	756.4		13.6	9.8
			1200			756.9		13.7	10.5
			1600			754.7		13.3	9.8
			2000	48 32	64 25	755.5		13.3	9.9
			2400			753.5		10.0	9.9
		9	400			753.1		10.0	9.8
