"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
		20			29.18	27.0
		24			29.22	26.0
	17	4			29.24	27.0
		8				
		12				
		16			29.40	26.8
		20			29.43	22.0
		24			29.45	7.5
	18	4			29.42	10.2
		8			29.39	21.0
		12			29.39	25.0
		16			29.38	26.0
		20			29.37	23.0
		24			29.35	19.0
	19	4			29.31	18.0
		8			29.29	21.0
		12			29.27	25.0
		16			29.23	28.0
		20			29.24	18.0
		24			29.24	14.0
	20	4			29.23	12.0
		8			29.22	14.8
		12			29.22	25.8
		16			29.23	33.0
		20			29.28	8.00
		24			29.30	7.00
	21	4			29.35	6.50
		8	Departed from	Western Base	29.41	18.2
		12	65 48.50	95 11	29.45	25.0
		16			29.48	25.2
		20			29.55	25.0
		24			29.54	29.5
	22	4			29.54	28.5
		8			29.52	29.8
		12	64 11	95 52	29.47	32.0
		16			29.46	32.5
		20			29.41	30.5
		24			29.35	31.0
	23	4			29.33	32.0
		8			29.38	33.0
		12	63 45	96 44	29.44	34.5
		16			29.49	35.0
		20			29.57	35.0
		24			29.62	35.0
	24	4			29.67	35.5
		8			29.69	35.8
		12	62 29	97 57	29.69	36.0
		16			29.66	36.8
		20			29.64	34.0
		24			29.58	34.0
	25	4			29.56	38.0
		8			29.51	35.0
		12	62 7	102 41	29.43	40.5
		16			29.27	35.5
		20			29.28	35.0
		24			29.23	35.0
	26	4			29.17	30.0
		8			29.16	30.0
		12	61 23	107 41	29.13	30.0
		16			29.12	28.0
		20			29.10	28.0
		24			29.06	31.0
	27	4			28.94	30.5
		8			28.82	31.0
		12	60 33	112 7	28.79	34.0
		16			28.79	36.0
		20			28.83	35.0
		24			28.78	35.0
	28	4			28.73	37.0
		8			28.78	34.5
		12	60 2	117 49	28.81	38.0
		16			28.88	37.0
		20			28.96	35.0
		24			29.08	36.5
	29	4			29.15	37.0
		8			29.24	38.5
		12	59 29	123 4	29.31	38.0
		16			29.36	37.0
		20			29.46	35.0
		24			29.47	36.5
March	1	4			29.43	38.5
		8			29.36	40.0
		12	58 40	126 1	29.34	41.1
		16			29.36	40.5
		20			29.52	40.5
		24			29.39	40.0
	2	4			29.35	42.0
		8			29.28	41.1
		12	58 42	129 19	29.13	41.0
		16			28.83	41.0
		20			28.59	41.5
		24			28.43	38.0
	3	4			28.48	38.0
		8			28.90	37.0
		12	58 37	131 4	29.09	40.0
		16			29.30	40.0
		20			29.40	40.0
		24			29.43	38.0
	4	4			29.37	38.0
		8			29.48	39.7
		12	57 27	133 10	29.52	40.0
		16			29.57	41.8
		20			29.69	39.0
		24			29.75	39.3
	5	4			29.81	39.8
		8			29.87	40.5
		12	54 56	133 54	29.87	41.3
		16			29.83	42.0
		20			29.81	42.8
		24			29.69	42.0
	6	4			29.53	43.2
		8			29.37	43.5
		12	53 57	135 56	29.32	42.0
		16			29.20	41.5
		20			29.20	43.0
		24			29.20	42.0
	7	4			29.15	40.5
		8			29.13	42.5
		12	52 19	137 17	29.17	43.0
		16			29.37	43.5
		20			29.51	42.0
		24			29.62	44.0
	8	4			29.66	44.0
		8			29.72	44.5
		12	49 52	140 30	29.78	46.2
		16			29.76	47.4
		20			29.84	47.0
		24			29.88	49.0
	9	4			29.87	49.2
		8			29.94	49.4
		12	47 38.50	141.59	29.93	50.7
		16			29.92	51.3
		20			29.93	52.0
		24			29.82	53.0
	10	4			29.68	54.2
		8			29.55	55.0
		12	46 19	142 47	29.43	54.5
		16			29.36	56.5
		20			29.42	55.0
		24			29.56	54.0
	11	4			29.66	53.2
		8			29.84	53.5
		12			29.95	55.0
		16			30.00	59.0
		20			30.06	
		24			30.05	
	12	4			30.02	
		8			30.02	
		12			29.94	
						
						
May	19	12	Departed from	Port Kembla		
		16			30.31	61.9
		20			30.38	61.0
		24			30.42	60.0
	20	4			30.42	60.0
		8			30.46	59.0
		12	36 0	150 43	30.45	61.7
		16			30.36	61.2
		20			30.35	62.5
